"Qty";"Value";"Device";"Package";"Parts";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";
"1";"";"F25HPS";"F25HP";"EXTERNAL";"SUB-D";"";"";"unknown";"unknown";
"1";"";"KK-156-6";"KK-156-6";"POWER";"KK 156 HEADER";"";"";"unknown";"unknown";
"9";"100k";"R-US_0207/10";"0207/10";"R26, R32, R47, R72, R97, R122, R147, R172, R197";"RESISTOR, American symbol";"";"";"";"";
"33";"10k";"R-US_0207/10";"0207/10";"R16, R18, R27, R31, R34, R37, R39, R48, R52, R62, R64, R73, R77, R87, R89, R98, R102, R112, R114, R123, R127, R137, R139, R148, R152, R162, R164, R173, R177, R187, R189, R198, R202";"RESISTOR, American symbol";"";"";"";"";
"5";"10n";"C-US075-032X103";"C075-032X103";"C1, C2, C3, C4, C6";"CAPACITOR, American symbol";"";"";"";"";
"16";"10p";"C-US075-032X103";"C075-032X103";"C5, C7, C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C20, C21, C22, C23";"CAPACITOR, American symbol";"";"";"";"";
"8";"12.75k";"R-US_0207/10";"0207/10";"R30, R51, R76, R101, R126, R151, R176, R201";"RESISTOR, American symbol";"";"";"";"";
"8";"13k";"R-US_0207/10";"0207/10";"R20, R41, R66, R91, R116, R141, R166, R191";"RESISTOR, American symbol";"";"";"";"";
"8";"16k";"R-US_0207/10";"0207/10";"R29, R50, R75, R100, R125, R150, R175, R200";"RESISTOR, American symbol";"";"";"";"";
"8";"17k";"R-US_0207/10";"0207/10";"R19, R40, R65, R90, R115, R140, R165, R190";"RESISTOR, American symbol";"";"";"";"";
"64";"1M";"R-US_0207/10";"0207/10";"R2, R3, R4, R21, R22, R23, R24, R25, R42, R43, R44, R45, R46, R54, R55, R56, R67, R68, R69, R70, R71, R79, R80, R81, R92, R93, R94, R95, R96, R104, R105, R106, R117, R118, R119, R120, R121, R129, R130, R131, R142, R143, R144, R145, R146, R154, R155, R156, R167, R168, R169, R170, R171, R179, R180, R181, R192, R193, R194, R195, R196, R204, R205, R206";"RESISTOR, American symbol";"";"";"";"";
"2";"1k";"R-US_0207/10";"0207/10";"R10, R12";"RESISTOR, American symbol";"";"";"";"";
"2";"1n";"C-US075-032X103";"C075-032X103";"C8, C9";"CAPACITOR, American symbol";"";"";"";"";
"16";"1n4742";"ZENER-DIODEDO41Z10";"DO41Z10";"D5, D6, D9, D10, D13, D14, D17, D18, D21, D22, D25, D26, D29, D30, D33, D34";"Z-Diode";"";"";"";"";
"24";"20k";"R-US_0207/10";"0207/10";"R1, R13, R14, R28, R36, R49, R60, R61, R74, R85, R86, R99, R110, R111, R124, R135, R136, R149, R160, R161, R174, R185, R186, R199";"RESISTOR, American symbol";"";"";"";"";
"24";"25.5k";"R-US_0207/10";"0207/10";"R5, R6, R7, R57, R58, R59, R82, R83, R84, R107, R108, R109, R132, R133, R134, R157, R158, R159, R182, R183, R184, R207, R208, R209";"RESISTOR, American symbol";"";"";"";"";
"1";"294";"R-US_0207/10";"0207/10";"R35";"RESISTOR, American symbol";"";"";"";"";
"2";"4.99M";"R-US_0207/10";"0207/10";"R9, R15";"RESISTOR, American symbol";"";"";"";"";
"8";"40k";"R-US_0207/10";"0207/10";"R17, R38, R63, R88, R113, R138, R163, R188";"RESISTOR, American symbol";"";"";"";"";
"5";"5569-2";"5569-2";"5569-2";"DISPLAY1, DISPLAYPOWERJ25, J23, J26, MAN/EXT";"";"";"";"";"";
"9";"5569-4";"5569-4";"5669-4";"HVIN, POT1, POT2, POT3, POT4, POT5, POT6, POT7, POT8";"";"";"";"";"";
"1";"5669-8";"5669-8";"5669-8";"DISPLAY";"";"";"";"";"";
"1";"640584-1";"640584-1";"640584-1";"OUT";"";"";"";"";"";
"2";"68";"R-US_0207/10";"0207/10";"R8, R11";"RESISTOR, American symbol";"";"";"";"";
"1";"90.9k";"R-US_0207/10";"0207/10";"R33";"RESISTOR, American symbol";"";"";"";"";
"8";"DG419DJN";"DG419DJN";"DIL08";"IC3, IC4, IC6, IC8, IC10, IC12, IC14, IC16";"CMOS SWITCH";"";"";"";"";
"8";"LT1352PA";"LT1352PA";"DIL08";"IC1, IC2, IC5, IC7, IC9, IC11, IC13, IC15";"Dual Operational Amplifiers";"";"";"unknown";"unknown";
"18";"P6KEXXA";"P6KEXXA";"C1702-15";"D1, D2, D3, D4, D7, D8, D11, D12, D15, D16, D19, D20, D23, D24, D27, D28, D31, D32";"DIODE";"";"";"";"";
"8";"PA97";"PA97";"7SIP";"U$1, U$2, U$3, U$4, U$5, U$6, U$7, U$8";"";"";"";"";"";
"8";"SK125/50C247";"SK125/50C247";"C247-050";"KK1, KK2, KK3, KK4, KK5, KK6, KK7, KK8";"HEATSINK manufacturer Fischer/distributor Buerklin";"";"";"";"";
"2";"STX616-AP";"2N3906";"TO92";"Q1, Q2";"PNP Transistor";"";"";"";"";
"2";"ZTX560";"2N3904";"TO92";"T1, T2";"NPN TRANSISTOR";"";"";"";"";
